prompt_id;dimension;subdimension;set_id;prompt_order;prompt
1-1-1;Mathematical-logical reasoning;Arithmetic Problem Solving;;;Calculate: (25 – 7) × (4 + 3)
1-1-2;Mathematical-logical reasoning;Arithmetic Problem Solving;;;What is (3/4 + 2/3) × (1 – 1/2)?
1-1-3;Mathematical-logical reasoning;Arithmetic Problem Solving;;;A runner runs at 10 km/h. How far does she run in 0 hours?
1-1-4;Mathematical-logical reasoning;Arithmetic Problem Solving;;;Alex has 3 pens that cost €1.20 each and a bag of apples. What’s the total cost of the pens?
1-1-5;Mathematical-logical reasoning;Arithmetic Problem Solving;;;Is 13217 a prime number?
1-1-6;Mathematical-logical reasoning;Arithmetic Problem Solving;;;A factory produces 1000 widgets in 5 machines working together for 5 hours. Assuming all machines work at the same rate and with no downtime, how many widgets would 3 machines produce in 4 hours?
1-2-1;Mathematical-logical reasoning;Deductive Reasoning;;;If all cats are mammals, and Luna is a cat, can we conclude Luna is a mammal?
1-2-2;Mathematical-logical reasoning;Deductive Reasoning;;;If it rains, the ground gets wet. It is raining. What can we conclude?
1-2-3;Mathematical-logical reasoning;Deductive Reasoning;;;All dogs are animals. Some animals are cats. Therefore, some dogs are cats. True or false?
1-2-4;Mathematical-logical reasoning;Deductive Reasoning;;;If A implies B, and B implies C, and A is true, what can you say about C?
1-2-5;Mathematical-logical reasoning;Deductive Reasoning;;;The lights turned on and then the dog barked. Did the light cause the barking?
1-2-6;Mathematical-logical reasoning;Deductive Reasoning;;;If no square is a circle and all triangles are squares, can a triangle be a circle?
1-3-1;Mathematical-logical reasoning;Mathematical Proof Concepts;;;Prove that the sum of two even integers is always even.
1-3-2;Mathematical-logical reasoning;Mathematical Proof Concepts;;;Prove that if n² is even, then n must also be even.
1-3-3;Mathematical-logical reasoning;Mathematical Proof Concepts;;;Is the square root of 2 a rational number?
1-3-4;Mathematical-logical reasoning;Mathematical Proof Concepts;;;A student says: “2n is even because it ends in 0.” Is this a valid proof?
1-3-5;Mathematical-logical reasoning;Mathematical Proof Concepts;;;"A ""proof"" claims 1 = 2 using algebra. How do you evaluate it?"
1-3-6;Mathematical-logical reasoning;Mathematical Proof Concepts;;;∀x ∈ ℕ: x > 1 ⇒ ∃p: p | x and p is prime. What does this mean?
1-4-1;Mathematical-logical reasoning;Text-based Arithmetic Problems;;;Emma buys 3 notebooks for €2.50 each and a pen for €1.80. How much does she pay in total?
1-4-2;Mathematical-logical reasoning;Text-based Arithmetic Problems;;;Carla and Ward are attending an award ceremony. Carla believes her watch is 7 min slow but it’s actually 2 min fast. Ward thinks his watch is 1 min slow but it's on time. Carla arrives when she believes it is 8:00. What time does Ward think it is?
1-4-3;Mathematical-logical reasoning;Text-based Arithmetic Problems;;;A horse was stolen. The thief had a 37 ri head start. After the owner traveled 145 ri, he is still 23 ri behind. After how many more ri will he catch up?
1-4-4;Mathematical-logical reasoning;Text-based Arithmetic Problems;;;A giraffe eats 12 leaves per hour. If it eats for 3 hours and walks 2 km, how many leaves does it eat?
1-4-5;Mathematical-logical reasoning;Text-based Arithmetic Problems;;;"A school has ""many"" students. If each gets 3 pens, how many pens are needed?"
1-4-6;Mathematical-logical reasoning;Text-based Arithmetic Problems;;;Tim gave half of his marbles to Alex. Then he gave half of what was left to Maria. How many marbles does he have now?
1-5-1;Mathematical-logical reasoning;Abstract Number Patterns;;;Consider the sequence: 1, 2, 6, 24, 120, ?. What is the next number, and why?
1-5-2;Mathematical-logical reasoning;Abstract Number Patterns;;;The sequence is: 3, 5, 9, 17, 33, ?. What is the next number, and what is the pattern?
1-5-3;Mathematical-logical reasoning;Abstract Number Patterns;;;What’s the next number? 2, 4, 8, 16, 31
1-5-4;Mathematical-logical reasoning;Abstract Number Patterns;;;1, 2, 4, 7, 11, 16… What comes next?
1-5-5;Mathematical-logical reasoning;Abstract Number Patterns;;;If A = 2, B = 4, C = 6, what does E equal?
1-5-6;Mathematical-logical reasoning;Abstract Number Patterns;;;A sequence is 5, __, 15. Fill the blank if the pattern is arithmetic. Then if geometric.
1-6-1;Mathematical-logical reasoning;University Mathematics;;;"For which values of the parameter a∈Ra \in \mathbb{R} does the improper integral 
\int_0^\infty e^{ax} \cdot \sin(x),dx 
exist, and compute the value in those cases."
1-6-2;Mathematical-logical reasoning;University Mathematics;;;Let M:={(x,y)∈R^2 : x∈(1,3), y=(x^3)/6+1/(2x)}.  Compute the arc length of M and simplify the final result.
1-6-3;Mathematical-logical reasoning;University Mathematics;;;"An urn initially contains one red and one blue ball. A ball is randomly drawn and returned with another ball of the same color. This process is repeated twice (three draws in total).
It turns out that one red and two blue balls were drawn. What is the probability that the red ball was drawn in the first round?"
1-6-4;Mathematical-logical reasoning;University Mathematics;;;A taxpayer T must pay a tax share S to have a net income of R, but can either report honestly or hide income (P or H). The inspector II can either check for fraud (C) or not (N). A check costs E. If fraud is found, the taxpayer pays a fine F, and the inspector receives F. The probability of being caught after a check is p. Model this as a static game with complete information and find the pure strategy Nash equilibria.
1-6-5;Mathematical-logical reasoning;University Mathematics;;;Let V be a vector space over K of dimension n≥1n \geq 1, and f∈End(V)f \in \text{End}(V), with p∈K[t]p \in K[t] a polynomial. Show that if the characteristic polynomial of f is (t - \lambda_1)\cdots(t - \lambda_n), then the characteristic polynomial of p(f) is (t - p(\lambda_1))\cdots(t - p(\lambda_n)).
1-6-6;Mathematical-logical reasoning;University Mathematics;;;Let T>0 be a finite time horizon, and let (B_t), t∈[0,T] be a standard Brownian motion. Consider the following mean-field stochastic differential equation: dX_t = \left(a \cdot \mathbb{E}[X_t] - b X_t\right) dt + \sigma, dB_t,\quad X_0 = x_0 \in \mathbb{R}_+, where a,b,σ∈R+a, b, \sigma \in \mathbb{R}_+. For all t∈[0,T], compute the expected value E[Xt]\mathbb{E}[X_t] and the derivative ∂Xt∂x0\frac{\partial X_t}{\partial x_0} without solving the SDE explicitly. You may assume (without proof) that the equation admits a unique strong solution (in pathwise and weak sense).
2-1-1;Linguistic Intelligence;Text coherence & structure;;;Write a 150-word explanation of photosynthesis suitable for a 12-year-old. Use clear topic sentences and a logical paragraph structure.
2-1-2;Linguistic Intelligence;Text coherence & structure;;;Convert the following bullet list into a well-structured, cohesive paragraph: ▪︎ causes of inflation ▪︎ demand-pull ▪︎ cost-push ▪︎ monetary policy lag.
2-1-3;Linguistic Intelligence;Text coherence & structure;;;"Rewrite the following six sentences (labeled A–F) into one logically ordered paragraph. Do not omit information; use exactly the same content, but you may change connectives or minor wording to ensure smooth flow. Keep the final paragraph under 110 words. A) Electric energy is converted into light when current passes through the filament. B) Because the filament offers resistance, it heats up and begins to glow. C) Thomas Edison’s practical incandescent bulb relied on a high-resistance carbon filament. D) The invention of the incandescent light bulb transformed nighttime work and leisure. E) In an incandescent bulb, electricity flows through a thin filament inside a glass enclosure. F) To prevent the filament from burning, the bulb is filled with an inert gas or vacuum-sealed."
2-1-4;Linguistic Intelligence;Text coherence & structure;;;"Give a two-paragraph argument for why urban green spaces improve mental health; each paragraph must have a clear topic sentence and supporting evidence."
2-1-5;Linguistic Intelligence;Text coherence & structure;;;Explain how blockchain works, using the analogy of a shared Google Doc. Keep the explanation in one cohesive paragraph (≤ 120 words).
2-1-6;Linguistic Intelligence;Text coherence & structure;;;Describe the water cycle in four logically ordered bullet points (cause→effect→next step…).
2-2-1;Linguistic Intelligence;Stylistic variety;;;Rewrite the following short news blurb as an informal tweet (≤ 40 words): ‘The Central Bank raised interest rates by 0.25 percentage points to curb inflation.’
2-2-2;Linguistic Intelligence;Stylistic variety;;;Explain quantum entanglement to a 10-year-old in the style of a bedtime story (≈ 120 words).
2-2-3;Linguistic Intelligence;Stylistic variety;;;Convert these informal travel notes into a formal business memo (≤ 90 words): ‘we landed late, hotel’s overbooked, need a backup venue ASAP.’
2-2-4;Linguistic Intelligence;Stylistic variety;;;Paraphrase this paragraph in Shakespearean Early Modern English: ‘Artificial intelligence is transforming the way we live and work…
2-2-5;Linguistic Intelligence;Stylistic variety;;;Write a concise scientific abstract (≤ 120 words) based on this layperson summary of a vaccine study: Gardasil is the vaccine created by Merck & Co. to stop human papillomavirus (HPV) in young women and men. Unfortunately, to say the vaccine is controversial would be a gross understatement – even a lead developer of the vaccine points out its undeniable dangers and how even how the vaccine is of little use. One recent case study published in the British Medical Journal found that the Gardasil vaccine destroyed the ovaries in a young girl of 16 years, ruining any future hope of her having children. Two ingredients in particular are suspected of wreaking havoc on the female reproductive system, potentially damaging the ovaries and reproductive organs in ways that could prevent the young vaccine-recipients from ever having children. One of those ingredients, polysorbate-80, is an emulsifying preservative, according to Natural News, and is commonly used in processed foods. Injected into the body, however, it’s been shown to accelerate sexual maturation in women and also to reduce the weight and function of the uterus and ovaries. The other ingredient, L-histidine, also a food additive, is a natural amino acid. But, when injected into muscle tissue it can allegedly cause an autoimmune response, leading to serious side effects. One of the most recent stories detailing evidence of Gardasil’s potential harm comes to us from Australia. Published in the British Medical Journal, this case study involves a 16-year old girl who received the Gardasil vaccine. Soon after, and with prior normal menstruation and overall health, the girl went into menopause, destroying any future hope of having children. Following the incident, the Therapeutic Goods Administration (TGA) – Australia’s equivalent of the FDA – found that Merck failed to ever test the vaccine on potential negative effects to women’s ovaries. While they had tested the vaccine on the testes of male rats, they either forgot or completely neglected to test it on ovaries. Girls as young as 9-years old are being encouraged to receive the HPV vaccine, despite the known-dangers and those that are yet unknown. One of the key developers of the vaccine herself has spoken out against it, though she later retracted her inflammatory statements. Dr. Diane Harper began voicing her concerns in 2009, saying the vaccine did more potential damage than the HPV it was designed to prevent. Gardasil has spent several years in the limelight as Big Pharma and its team of salespeople (your pediatricians and general physicians) has worked tirelessly to ensure all young people – particularly girls – are injected with it despite a lack of safety testing and evidence to its dangers. Drug companies like Merck & Co. would have you believe their interest lies in keeping people healthy. But make no mistake about it, their only interest is in improving their bottom line – at any cost.
2-2-6;Linguistic Intelligence;Stylistic variety;;;Retell the plot of ‘Little Red Riding Hood’ as a noir detective monologue (≤ 150 words).
2-3-1;Linguistic Intelligence;Ambiguity detection & resolution;;;Please book the meeting next Friday.
2-3-2;Linguistic Intelligence;Ambiguity detection & resolution;;;Tell me about the bank on the river.
2-3-3;Linguistic Intelligence;Ambiguity detection & resolution;;;Rewrite the sentence so it’s clear: ‘I saw the man with the telescope.
2-3-4;Linguistic Intelligence;Ambiguity detection & resolution;;;Schedule lunch with Alex and send them a recap.
2-3-5;Linguistic Intelligence;Ambiguity detection & resolution;;;If the chemist mixes the solution with water, it will explode. What will explode?
2-3-6;Linguistic Intelligence;Ambiguity detection & resolution;;;Translate into German and remove any ambiguities: ‘Visiting relatives can be annoying.
2-4-1;Linguistic Intelligence;Metaphor & rhetorical devices ;;;Explain what is meant by the phrase: “She has a heart of stone.”
2-4-2;Linguistic Intelligence;Metaphor & rhetorical devices ;;;Write a simile about aging.
2-4-3;Linguistic Intelligence;Metaphor & rhetorical devices ;;;Fill in the blank: “Battery is to flashlight as ____ is to car.”
